texto,tipo_documento
Se comunica el levantamiento de las medidas cautelares sobre la cuenta de Gómez.,Desembargo
El juzgado ordena remitir el expediente al despacho judicial de origen.,Traslado
Se traslada la documentación correspondiente al juzgado encargado.,Traslado
El juzgado ordena el embargo de los fondos del demandado en la cuenta número 597019.,Embargo
Por medio del presente se ordena el embargo preventivo de las cuentas de López.,Embargo
Se requiere información adicional sobre la cuenta 947434 perteneciente a Suárez.,Requerimiento
Por orden judicial se bloquean los fondos del demandado en Banco Popular.,Embargo
Se ordena la devolución de los valores embargados al titular Suárez.,Desembargo
Envíese el expediente al Juzgado 364995 de Familia para su conocimiento.,Traslado
Se traslada la documentación correspondiente al juzgado encargado.,Traslado
Se ordena la devolución de los valores embargados al titular Martínez.,Desembargo
Notifíquese al banco la retención de los fondos pertenecientes a López.,Embargo
Se dispone el traslado del expediente al nuevo juzgado según reparto.,Traslado
El juzgado solicita la inmovilización de los recursos en la cuenta 891640.,Embargo
El juzgado autoriza el desembargo de los fondos retenidos en Banco de Occidente.,Desembargo
El juzgado ordena el embargo de los fondos del demandado en la cuenta número 247027.,Embargo
Se solicita al banco Davivienda enviar los estados de cuenta de los últimos tres meses.,Requerimiento
Se dispone el traslado del expediente al nuevo juzgado según reparto.,Traslado
Se requiere confirmar la recepción de la orden de embargo por parte de Bancolombia.,Requerimiento
El despacho judicial decreta embargo de los ahorros en BBVA.,Embargo
Se traslada la documentación correspondiente al juzgado encargado.,Traslado
Se requiere información adicional sobre la cuenta 753765 perteneciente a Ramírez.,Requerimiento
Se traslada la documentación correspondiente al juzgado encargado.,Traslado
Notifíquese al banco la retención de los fondos pertenecientes a Vargas.,Embargo
Se requiere al banco Davivienda remitir los extractos de la cuenta 600870.,Requerimiento
Envíese el expediente al Juzgado 618552 de Familia para su conocimiento.,Traslado
Se solicita al banco Banco de Occidente enviar los estados de cuenta de los últimos tres meses.,Requerimiento
Remítase copia completa del proceso al despacho competente.,Traslado
El juzgado requiere información sobre los fondos embargados en Banco Popular.,Requerimiento
Se requiere información adicional sobre la cuenta 819283 perteneciente a Vargas.,Requerimiento
El juzgado ordena el embargo de los fondos del demandado en la cuenta número 191799.,Embargo
El juzgado autoriza el desembargo de los fondos retenidos en Banco de Occidente.,Desembargo
Por reparto se traslada la actuación al juzgado correspondiente.,Traslado
Se decreta medida cautelar de embargo sobre los bienes de Suárez.,Embargo
El despacho judicial solicita los movimientos financieros de Gutiérrez.,Requerimiento
Se dispone el embargo sobre los valores depositados en la cuenta 903460.,Embargo
El juzgado requiere información sobre los fondos embargados en Banco de Occidente.,Requerimiento
Se requiere confirmar la recepción de la orden de embargo por parte de Bancolombia.,Requerimiento
El despacho dispone el levantamiento de embargo decretado en proceso anterior.,Desembargo
Remítase copia completa del proceso al despacho competente.,Traslado
Se remite oficio al Juzgado 182826 de Ejecución para la continuación del trámite.,Traslado
El despacho judicial decreta embargo de los ahorros en Banco Popular.,Embargo
Se ordena la devolución de los valores embargados al titular Torres.,Desembargo
Notifíquese a la entidad financiera la liberación de los recursos de Gutiérrez.,Desembargo
El juzgado decreta medida cautelar de embargo a favor del demandante.,Embargo
El despacho dispone el levantamiento de embargo decretado en proceso anterior.,Desembargo
Se decreta medida cautelar de embargo sobre los bienes de Torres.,Embargo
Notifíquese al banco la retención de los fondos pertenecientes a Gómez.,Embargo
El despacho judicial decreta embargo de los ahorros en Banco de Occidente.,Embargo
Trasládese la información al tribunal competente para su trámite.,Traslado
Por orden judicial se bloquean los fondos del demandado en Banco Nacional.,Embargo
El juzgado autoriza el desembargo de los fondos retenidos en Banco Popular.,Desembargo
Se remite oficio al Juzgado 706425 de Ejecución para la continuación del trámite.,Traslado
Notifíquese al banco la retención de los fondos pertenecientes a Vargas.,Embargo
Se traslada la documentación correspondiente al juzgado encargado.,Traslado
El juzgado dispone el levantamiento de la medida de embargo sobre la cuenta 603804.,Desembargo
Remítase copia completa del proceso al despacho competente.,Traslado
Se dispone el traslado del expediente al nuevo juzgado según reparto.,Traslado
Se solicita al banco Davivienda enviar los estados de cuenta de los últimos tres meses.,Requerimiento
El juzgado dispone el levantamiento de la medida de embargo sobre la cuenta 106910.,Desembargo
Notifíquese al banco la retención de los fondos pertenecientes a Martínez.,Embargo
Se autoriza al banco BBVA a desbloquear los fondos retenidos judicialmente.,Desembargo
El juzgado requiere información sobre los fondos embargados en Bancolombia.,Requerimiento
Se autoriza al banco Banco Popular a desbloquear los fondos retenidos judicialmente.,Desembargo
Por orden judicial se bloquean los fondos del demandado en Banco Nacional.,Embargo
Se solicita al banco Banco Nacional enviar los estados de cuenta de los últimos tres meses.,Requerimiento
Se remite oficio al Juzgado 975173 de Ejecución para la continuación del trámite.,Traslado
Se dispone el embargo sobre los valores depositados en la cuenta 550201.,Embargo
El juzgado solicita información sobre los saldos bloqueados de Gutiérrez.,Requerimiento
Se requiere confirmar la recepción de la orden de embargo por parte de Bancolombia.,Requerimiento
El juzgado decreta medida cautelar de embargo a favor del demandante.,Embargo
Remítase copia completa del proceso al despacho competente.,Traslado
Se solicita al banco Bancolombia enviar los estados de cuenta de los últimos tres meses.,Requerimiento
Se solicita al banco Banco de Occidente enviar los estados de cuenta de los últimos tres meses.,Requerimiento
El despacho solicita detalle de los depósitos judiciales asociados al proceso.,Requerimiento
El juzgado solicita la inmovilización de los recursos en la cuenta 602521.,Embargo
Se autoriza al banco Bancolombia a desbloquear los fondos retenidos judicialmente.,Desembargo
El juzgado autoriza el desembargo de los fondos retenidos en BBVA.,Desembargo
El juzgado solicita información sobre los saldos bloqueados de Suárez.,Requerimiento
El juzgado dispone el levantamiento de la medida de embargo sobre la cuenta 612545.,Desembargo
El despacho judicial solicita los movimientos financieros de Torres.,Requerimiento
Se dispone el traslado del expediente al nuevo juzgado según reparto.,Traslado
Por orden judicial se bloquean los fondos del demandado en BBVA.,Embargo
Por medio del presente se ordena el embargo preventivo de las cuentas de Rodríguez.,Embargo
Se requiere al banco Banco Popular remitir los extractos de la cuenta 297967.,Requerimiento
El juzgado ordena el embargo de los fondos del demandado en la cuenta número 529029.,Embargo
El juzgado dispone el levantamiento de la medida de embargo sobre la cuenta 899955.,Desembargo
Notifíquese a la entidad financiera la liberación de los recursos de López.,Desembargo
El juzgado ordena el embargo de los fondos del demandado en la cuenta número 743087.,Embargo
Se solicita al banco Banco Nacional enviar los estados de cuenta de los últimos tres meses.,Requerimiento
Trasládese la información al tribunal competente para su trámite.,Traslado
Remítase copia completa del proceso al despacho competente.,Traslado
El despacho judicial solicita los movimientos financieros de Pérez.,Requerimiento
Se autoriza al banco Banco de Occidente a desbloquear los fondos retenidos judicialmente.,Desembargo
Notifíquese al banco la retención de los fondos pertenecientes a Gómez.,Embargo
Notifíquese el levantamiento de embargo sobre los activos de López.,Desembargo
Notifíquese al banco la retención de los fondos pertenecientes a Rodríguez.,Embargo
El despacho judicial decreta embargo de los ahorros en Bancolombia.,Embargo
El despacho dispone el levantamiento de embargo decretado en proceso anterior.,Desembargo
Por orden judicial se bloquean los fondos del demandado en BBVA.,Embargo
Envíese el expediente al Juzgado 536643 de Familia para su conocimiento.,Traslado
El juzgado requiere información sobre los fondos embargados en Banco de Occidente.,Requerimiento
Se decreta medida cautelar de embargo sobre los bienes de Ramírez.,Embargo
El juzgado ordena remitir el expediente al despacho judicial de origen.,Traslado
Se comunica el desembargo de los bienes pertenecientes a Gutiérrez.,Desembargo
Se remite oficio al Juzgado 974313 de Ejecución para la continuación del trámite.,Traslado
Remítase copia completa del proceso al despacho competente.,Traslado
El despacho solicita detalle de los depósitos judiciales asociados al proceso.,Requerimiento
El despacho judicial solicita los movimientos financieros de Pérez.,Requerimiento
Se dispone remitir los documentos al despacho que conoce la causa.,Traslado
Notifíquese al banco la retención de los fondos pertenecientes a Martínez.,Embargo
Por reparto se traslada la actuación al juzgado correspondiente.,Traslado
Se decreta medida cautelar de embargo sobre los bienes de Pérez.,Embargo
Se solicita al banco BBVA enviar los estados de cuenta de los últimos tres meses.,Requerimiento
Se requiere al banco BBVA remitir los extractos de la cuenta 204875.,Requerimiento
El juzgado requiere información sobre los fondos embargados en Banco Popular.,Requerimiento
Se requiere información adicional sobre la cuenta 768790 perteneciente a López.,Requerimiento
Se ordena el traslado del expediente al Juzgado 271940 Civil del Circuito.,Traslado
Envíese el expediente al Juzgado 138940 de Familia para su conocimiento.,Traslado
Se dispone el traslado del expediente al nuevo juzgado según reparto.,Traslado
Se dispone el traslado del expediente al nuevo juzgado según reparto.,Traslado
El despacho solicita detalle de los depósitos judiciales asociados al proceso.,Requerimiento
Se comunica el desembargo de los bienes pertenecientes a López.,Desembargo
El despacho dispone el levantamiento de embargo decretado en proceso anterior.,Desembargo
El juzgado ordena el embargo de los fondos del demandado en la cuenta número 374036.,Embargo
Notifíquese al banco la retención de los fondos pertenecientes a Suárez.,Embargo
Se comunica el levantamiento de las medidas cautelares sobre la cuenta de Vargas.,Desembargo
Envíese el expediente al Juzgado 316192 de Familia para su conocimiento.,Traslado
Notifíquese a la entidad financiera la liberación de los recursos de Rodríguez.,Desembargo
Se requiere información adicional sobre la cuenta 515679 perteneciente a Gutiérrez.,Requerimiento
El despacho judicial solicita los movimientos financieros de Vargas.,Requerimiento
Notifíquese el levantamiento de embargo sobre los activos de Martínez.,Desembargo
Se dispone remitir los documentos al despacho que conoce la causa.,Traslado
Se dispone el traslado del expediente al nuevo juzgado según reparto.,Traslado
El juzgado dispone el levantamiento de la medida de embargo sobre la cuenta 505888.,Desembargo
El juzgado ordena remitir el expediente al despacho judicial de origen.,Traslado
El juzgado requiere información sobre los fondos embargados en Davivienda.,Requerimiento
Envíese el expediente al Juzgado 525008 de Familia para su conocimiento.,Traslado
El despacho dispone el levantamiento de embargo decretado en proceso anterior.,Desembargo
El despacho dispone el levantamiento de embargo decretado en proceso anterior.,Desembargo
Se dispone el embargo sobre los valores depositados en la cuenta 667534.,Embargo
Se remite oficio al Juzgado 820661 de Ejecución para la continuación del trámite.,Traslado
El despacho solicita detalle de los depósitos judiciales asociados al proceso.,Requerimiento
Notifíquese el levantamiento de embargo sobre los activos de Gómez.,Desembargo
Se comunica el desembargo de los bienes pertenecientes a Suárez.,Desembargo
Se dispone remitir los documentos al despacho que conoce la causa.,Traslado
El juzgado decreta medida cautelar de embargo a favor del demandante.,Embargo
Se traslada la documentación correspondiente al juzgado encargado.,Traslado
El juzgado requiere información sobre los fondos embargados en Davivienda.,Requerimiento
Por medio del presente se ordena el embargo preventivo de las cuentas de Torres.,Embargo
Notifíquese a la entidad financiera la liberación de los recursos de Suárez.,Desembargo
Por reparto se traslada la actuación al juzgado correspondiente.,Traslado
Se ordena el traslado del expediente al Juzgado 861698 Civil del Circuito.,Traslado
Proceda el banco a levantar la medida cautelar vigente sobre la cuenta 100449.,Desembargo
El juzgado autoriza el desembargo de los fondos retenidos en Banco Popular.,Desembargo
Por orden judicial se bloquean los fondos del demandado en Bancolombia.,Embargo
Se traslada la documentación correspondiente al juzgado encargado.,Traslado
Notifíquese el levantamiento de embargo sobre los activos de Martínez.,Desembargo
Se ordena la devolución de los valores embargados al titular Rodríguez.,Desembargo
Se solicita al banco Davivienda enviar los estados de cuenta de los últimos tres meses.,Requerimiento
