texto,tipo_documento
Se dispone el liberar bienes embargados de los bienes embargados para su devolución al deudor.,Desembargo
Se ordena cancelar el embargo del vehículo identificado con placas 262A298.,Desembargo
Se deja sin efecto la medida de desbloqueo sobre los bienes de Verónica Paredes.,Desembargo
Se orden al empleador presentar certificación de ingresos de Carolina Rivas.,Requerimiento
El tribunal remite copia del expediente a la autoridad competente para su comunicación.,Traslado
Se requisitoria al empleador presentar certificación de ingresos de Andrés Castillo.,Requerimiento
El juzgado ordena la embargo de los bienes en garantía del crédito reclamado.,Embargo
El juez demanda a la parte demandada cancelar la obligación en el plazo señalado.,Requerimiento
Se decreta la requisa de los bienes muebles ubicados en la dirección indicada.,Embargo
El despacho dispone la secuestro sobre el salario de Ana Martínez.,Embargo
Se dispone el desbloqueo de los bienes registrados a nombre de Carolina Rivas.,Desembargo
Se libra mandamiento de requisa sobre el vehículo de placas 336J695.,Embargo
Se ordena la incautación preventivo de la cuenta número 5911867 a nombre de José Torres.,Embargo
Se concede envío a la contraparte para que comparezca y conteste la demanda.,Traslado
Se requerimiento a Cooperativa Solidaria remitir relación detallada de los productos financieros a nombre de Ricardo Gómez.,Requerimiento
Se decreta la confiscación de los bienes muebles ubicados en la dirección indicada.,Embargo
El juez autoriza el liberar una cuenta de los recursos retenidos en la entidad Banco Andino.,Desembargo
Se corre envío a la parte demandada del escrito presentado en fecha 22/03/2025.,Traslado
El juzgado ordena la decomiso de los bienes en garantía del crédito reclamado.,Embargo
El juzgado decreta la incautación de los bienes del demandado ubicados en Medellín.,Embargo
Se da envío al Ministerio Público del informe presentado por Verónica Paredes.,Traslado
El despacho dispone la secuestro sobre el salario de Isabel Vargas.,Embargo
El despacho ordena el desbloqueo de la cuenta bancaria número 4715224.,Desembargo
Se ordena cancelar el embargo del vehículo identificado con placas 754C348.,Desembargo
El tribunal solicitud a la compañía aseguradora pronunciarse sobre la reclamación.,Requerimiento
Se ordena el decomiso preventivo sobre las acciones de la empresa de Fernando Ruiz.,Embargo
El despacho ordena el recuperación de la cuenta bancaria número 4533336.,Desembargo
Se declara el liberar bienes embargados parcial al considerarse suficientes los bienes para cubrir la deuda.,Desembargo
El juzgado concede comunicación a la entidad Banco Nacional para que se pronuncie sobre la solicitud de desembargo.,Traslado
El juez requerimiento a la parte demandada cancelar la obligación en el plazo señalado.,Requerimiento
Se corre comunicación a la parte demandada del escrito presentado en fecha 27/05/2025.,Traslado
Se dispone la embargo de los bienes registrados a nombre de Fernando Ruiz.,Embargo
El tribunal demanda a la compañía aseguradora pronunciarse sobre la reclamación.,Requerimiento
Se petición a Banco Popular remitir relación detallada de los productos financieros a nombre de Juan Pérez.,Requerimiento
El despacho demanda al banco Banco Andino informar los movimientos de la cuenta 2040778 en los últimos seis meses.,Requerimiento
Se ordena el requisa preventivo sobre las acciones de la empresa de Fernando Ruiz.,Embargo
Se aviso al apoderado de Sofía Medina allegar copia auténtica del título ejecutivo.,Requerimiento
El despacho decreta el desembargo que pesaba sobre el inmueble de Carolina Rivas.,Desembargo
Se corre remisión a la parte demandada del escrito presentado en fecha 16/09/2024.,Traslado
El juzgado orden a la empresa informar el salario y prestaciones de Carlos Rodríguez.,Requerimiento
El juzgado decreta la embargo de los bienes del demandado ubicados en Ibagué.,Embargo
El despacho dispone dar envío a la contraparte del recurso de reposición interpuesto por Ana Martínez.,Traslado
Se ordena cancelar el embargo del vehículo identificado con placas 703U306.,Desembargo
El despacho decreta el desbloqueo que pesaba sobre el inmueble de Ricardo Gómez.,Desembargo
El juez autoriza el levantamiento del embargo de los recursos retenidos en la entidad Banco Nacional.,Desembargo
Se dispone el restitución de los bienes registrados a nombre de Paula Hernández.,Desembargo
El despacho decreta el restitución que pesaba sobre el inmueble de Laura Sánchez.,Desembargo
El despacho ordena el desaplicación del embargo de la cuenta bancaria número 5753950.,Desembargo
Se corre notificación a la parte demandada del escrito presentado por la parte actora en fecha 25/02/2025.,Traslado
Se ordena cancelar el embargo del vehículo identificado con placas 500X536.,Desembargo
El despacho dispone la incautación sobre el salario de José Torres.,Embargo
El despacho dispone dar envío a la contraparte del recurso de reposición interpuesto por Verónica Paredes.,Traslado
El juzgado concede comunicación a la entidad Banco de Bogotá para que se pronuncie sobre la solicitud de desembargo.,Traslado
Se declara el liberación parcial al considerarse suficientes los bienes para cubrir la deuda.,Desembargo
Se demanda a la entidad Cooperativa Solidaria remitir certificación actualizada de los saldos de la cuenta 9769467.,Requerimiento
Se da remesa al Ministerio Público del informe presentado por Luis Fernández.,Traslado
Se dispone la decomiso de los bienes registrados a nombre de Paula Hernández.,Embargo
Se deja sin efecto la medida de levantamiento del embargo sobre los bienes de Patricia López.,Desembargo
Se decreta la confiscación de los bienes muebles ubicados en la dirección indicada.,Embargo
Se declara el devolución parcial al considerarse suficientes los bienes para cubrir la deuda.,Desembargo
El juzgado concede notificación a la entidad Davivienda para que se pronuncie sobre la solicitud de desembargo.,Traslado
Se dispone dar traslado al recurso extraordinario presentado por Miguel Ángel.,Traslado
El despacho dispone dar comunicación a la contraparte del recurso de reposición interpuesto por Paula Hernández.,Traslado
Se mandato al apoderado de Ana Martínez allegar copia auténtica del título ejecutivo.,Requerimiento
Se requisitoria al empleador presentar certificación de ingresos de Paula Hernández.,Requerimiento
El juzgado concede notificación a la entidad Cooperativa Solidaria para que se pronuncie sobre la solicitud de desembargo.,Traslado
El despacho decreta el devolución que pesaba sobre el inmueble de Carlos Rodríguez.,Desembargo
Se demanda a Banco Andino remitir relación detallada de los productos financieros a nombre de Ricardo Gómez.,Requerimiento
Se dispone el liberar bienes embargados de los bienes embargados para su devolución al deudor.,Desembargo
El despacho dispone la incautación sobre el salario de Miguel Ángel.,Embargo
Se da remesa al Ministerio Público del informe presentado por Ana Martínez.,Traslado
Se decreta la confiscación de los bienes muebles ubicados en la dirección indicada.,Embargo
Se dictamina el recuperación total de los bienes retenidos por orden judicial.,Desembargo
El despacho ordena el restitución de la cuenta bancaria número 7409133.,Desembargo
Se mandato a Financiera Central remitir relación detallada de los productos financieros a nombre de Marta Ramírez.,Requerimiento
Se ordena el incautación preventivo sobre las acciones de la empresa de Patricia López.,Embargo
El juez mandato a la parte demandada cancelar la obligación en el plazo señalado.,Requerimiento
Se ordena la secuestro preventivo de la cuenta número 2606621 a nombre de Laura Sánchez.,Embargo
El juzgado decreta la decomiso de los bienes del demandado ubicados en Popayán.,Embargo
El juez ordena la embargo de los fondos depositados en la entidad financiera Banco Popular.,Embargo
Se dispone el levantamiento del embargo de los bienes registrados a nombre de Marta Ramírez.,Desembargo
El despacho decreta el desbloqueo que pesaba sobre el inmueble de Patricia López.,Desembargo
Se exigencia a la entidad Cooperativa Solidaria remitir certificación actualizada de los saldos de la cuenta 2828009.,Requerimiento
El juez autoriza el liberar una cuenta de los recursos retenidos en la entidad Financiera Central.,Desembargo
Se dictamina el desaplicación del embargo total de los bienes retenidos por orden judicial.,Desembargo
Se petición a Banco del Norte remitir relación detallada de los productos financieros a nombre de Andrés Castillo.,Requerimiento
El juzgado ordena la requisa de los bienes en garantía del crédito reclamado.,Embargo
El juzgado concede remisión a la entidad BBVA para que se pronuncie sobre la solicitud de desembargo.,Traslado
Se dictamina el desbloqueo total de los bienes retenidos por orden judicial.,Desembargo
Se autoriza el confiscación de la propiedad inmueble situada en Montería.,Embargo
El juez aviso a la parte demandada cancelar la obligación en el plazo señalado.,Requerimiento
El juzgado mandato a Paula Hernández que responda si acepta o rechaza la propuesta de pago.,Requerimiento
Se otorga remisión a la administración demandada para que presente alegaciones.,Traslado
Se concede remesa a la contraparte para que comparezca y conteste la demanda.,Traslado
Se dictamina el liberación total de los bienes retenidos por orden judicial.,Desembargo
Se corre notificación a la parte demandada del escrito presentado en fecha 20/06/2025.,Traslado
Se orden al apoderado de Andrés Castillo allegar copia auténtica del título ejecutivo.,Requerimiento
El órgano jurisdiccional remite las actuaciones a las partes para su traslado y contestación.,Traslado
Se otorga comunicación a la administración demandada para que presente alegaciones.,Traslado
Se exigencia a Financiera Central remitir relación detallada de los productos financieros a nombre de Juan Pérez.,Requerimiento
El despacho dispone dar envío a la contraparte del recurso de reposición interpuesto por Andrés Castillo.,Traslado
El juzgado ordena el recuperación de las medidas cautelares sobre la cuenta 9940663.,Desembargo
El juzgado decreta la secuestro de los bienes del demandado ubicados en Villavicencio.,Embargo
El juez ordena la requisa de los fondos depositados en la entidad financiera Banco del Norte.,Embargo
El tribunal petición a la compañía aseguradora pronunciarse sobre la reclamación.,Requerimiento
Se otorga envío a la administración demandada para que presente alegaciones.,Traslado
El juzgado ordena la incautación de los bienes en garantía del crédito reclamado.,Embargo
El juzgado petición a la empresa informar el salario y prestaciones de Isabel Vargas.,Requerimiento
Se petición al apoderado de Carolina Rivas allegar copia auténtica del título ejecutivo.,Requerimiento
El órgano jurisdiccional remite las actuaciones a las partes para su envío y contestación.,Traslado
El órgano jurisdiccional remite las actuaciones a las partes para su traslado y contestación.,Traslado
Se declara el recuperación parcial al considerarse suficientes los bienes para cubrir la deuda.,Desembargo
El despacho ordena el recuperación de la cuenta bancaria número 3157506.,Desembargo
Se libra mandamiento de retención sobre el vehículo de placas 982E786.,Embargo
El juez autoriza el levantamiento del embargo de los recursos retenidos en la entidad Financiera Central.,Desembargo
Se deja sin efecto la medida de devolución sobre los bienes de Verónica Paredes.,Desembargo
Se libra mandamiento de embargo sobre el vehículo de placas 424R430.,Embargo
El despacho ordena el liberación de la cuenta bancaria número 1671510.,Desembargo
El juzgado mandato a la empresa informar el salario y prestaciones de Pedro López.,Requerimiento
El juez autoriza el desaplicación del embargo de los recursos retenidos en la entidad Banco Andino.,Desembargo
El despacho dispone dar envío a la contraparte del recurso de reposición interpuesto por Marta Ramírez.,Traslado
Se dispone el desaplicación del embargo de los bienes embargados para su devolución al deudor.,Desembargo
Se dispone la requisa de los bienes registrados a nombre de Luis Fernández.,Embargo
Se requerimiento a Banco Andino remitir relación detallada de los productos financieros a nombre de José Luis.,Requerimiento
El órgano jurisdiccional remite las actuaciones a las partes para su comunicación y contestación.,Traslado
Se solicitud a la entidad Financiera Central remitir certificación actualizada de los saldos de la cuenta 8092667.,Requerimiento
El juez ordena la embargo de los fondos depositados en la entidad financiera Banco Andino.,Embargo
El juzgado decreta la confiscación de los bienes del demandado ubicados en Popayán.,Embargo
Se dictamina el liberar bienes embargados total de los bienes retenidos por orden judicial.,Desembargo
Se ordena la embargo preventivo de la cuenta número 2781069 a nombre de Fernando Ruiz.,Embargo
El juez autoriza el devolución de los recursos retenidos en la entidad Banco de Occidente.,Desembargo
Se aviso a BBVA remitir relación detallada de los productos financieros a nombre de José Torres.,Requerimiento
El juzgado decreta la requisa de los bienes del demandado ubicados en Manizales.,Embargo
Se autoriza el decomiso de la propiedad inmueble situada en Cúcuta.,Embargo
Se dispone el liberación de los bienes registrados a nombre de Miguel Ángel.,Desembargo
Se decreta la retención de los bienes muebles ubicados en la dirección indicada.,Embargo
Se demanda a Banco de Occidente remitir relación detallada de los productos financieros a nombre de Fernando Ruiz.,Requerimiento
Se concede traslado a la contraparte para que comparezca y conteste la demanda.,Traslado
El juez ordena la secuestro de los fondos depositados en la entidad financiera Cooperativa Solidaria.,Embargo
El juez ordena la decomiso de los fondos depositados en la entidad financiera Banco Andino.,Embargo
El despacho decreta el devolución que pesaba sobre el inmueble de María Gómez.,Desembargo
Se aviso a la entidad Banco Popular remitir certificación actualizada de los saldos de la cuenta 7983564.,Requerimiento
Se exigencia al actor para que precise su demanda en el término legal.,Requerimiento
Se deja sin efecto la medida de devolución sobre los bienes de Paula Hernández.,Desembargo
El despacho ordena el liberación de la cuenta bancaria número 4191270.,Desembargo
El juzgado ordena la secuestro de los bienes en garantía del crédito reclamado.,Embargo
Se requerimiento al empleador presentar certificación de ingresos de Paula Hernández.,Requerimiento
Se dispone la embargo de los bienes registrados a nombre de Luis Fernández.,Embargo
Se solicitud a la entidad Banco Nacional remitir certificación actualizada de los saldos de la cuenta 8014923.,Requerimiento
Se requerimiento al apoderado de Laura Sánchez allegar copia auténtica del título ejecutivo.,Requerimiento
El juez mandato a la parte demandada cancelar la obligación en el plazo señalado.,Requerimiento
Se petición a Cooperativa Solidaria remitir relación detallada de los productos financieros a nombre de Patricia López.,Requerimiento
El despacho decreta el desbloqueo que pesaba sobre el inmueble de José Torres.,Desembargo
Se declara el levantamiento del embargo parcial al considerarse suficientes los bienes para cubrir la deuda.,Desembargo
El tribunal mandato a la compañía aseguradora pronunciarse sobre la reclamación.,Requerimiento
Se dispone la requisa de los bienes registrados a nombre de Juan Pérez.,Embargo
Se concede remisión a la contraparte para que comparezca y conteste la demanda.,Traslado
Se dispone el liberación de los bienes registrados a nombre de Ricardo Gómez.,Desembargo
Se requerimiento a la entidad Banco del Norte remitir certificación actualizada de los saldos de la cuenta 5844447.,Requerimiento
El juzgado decreta la embargo de los bienes del demandado ubicados en Pereira.,Embargo
Se ordena la secuestro preventivo de la cuenta número 8989606 a nombre de Miguel Ángel.,Embargo
El despacho exigencia al banco Banco de Occidente informar los movimientos de la cuenta 1846922 en los últimos seis meses.,Requerimiento
El despacho petición al banco Cooperativa Solidaria informar los movimientos de la cuenta 5923999 en los últimos seis meses.,Requerimiento
El juez autoriza el levantamiento del embargo de los recursos retenidos en la entidad Banco de Occidente.,Desembargo
Se dispone dar notificación al recurso extraordinario presentado por Carlos Rodríguez.,Traslado
Se corre remesa a la parte demandada del escrito presentado en fecha 30/01/2025.,Traslado
El juzgado ordena la incautación de los bienes en garantía del crédito reclamado.,Embargo
Se dispone el liberar bienes embargados de los bienes registrados a nombre de Patricia López.,Desembargo
Se exigencia al apoderado de Ricardo Gómez allegar copia auténtica del título ejecutivo.,Requerimiento
Se ordena la requisa preventivo de la cuenta número 6845078 a nombre de Marta Ramírez.,Embargo
El juzgado ordena el liberar bienes embargados de las medidas cautelares sobre la cuenta 5218294.,Desembargo
Se deja sin efecto la medida de restitución sobre los bienes de Marta Ramírez.,Desembargo
Se exigencia a Banco de Occidente remitir relación detallada de los productos financieros a nombre de Fernando Ruiz.,Requerimiento
Se otorga traslado a la administración demandada para que presente alegaciones.,Traslado
El juzgado decreta la secuestro de los bienes del demandado ubicados en Armenia.,Embargo
El juez ordena la decomiso de los fondos depositados en la entidad financiera Cooperativa Solidaria.,Embargo
Se dispone el levantamiento del embargo de los bienes registrados a nombre de Sofía Medina.,Desembargo
El juzgado ordena la requisa de los bienes en garantía del crédito reclamado.,Embargo
Se dispone la embargo de los bienes registrados a nombre de Laura Sánchez.,Embargo
Se corre traslado a la parte demandada del escrito presentado en fecha 15/09/2025.,Traslado
Se decreta la retención de los bienes muebles ubicados en la dirección indicada.,Embargo
El juez ordena la secuestro de los fondos depositados en la entidad financiera Banco del Norte.,Embargo
Se otorga envío a la administración demandada para que presente alegaciones.,Traslado
Se requisitoria al actor para que precise su demanda en el término legal.,Requerimiento
Se decreta la embargo de los bienes muebles ubicados en la dirección indicada.,Embargo
Se ordena cancelar el embargo del vehículo identificado con placas 118I383.,Desembargo
Se dispone la incautación de los bienes registrados a nombre de Patricia López.,Embargo
Se corre remesa a la parte demandada del escrito presentado por la parte actora en fecha 20/01/2024.,Traslado
El juzgado aviso a Ana Martínez que responda si acepta o rechaza la propuesta de pago.,Requerimiento
El tribunal petición a la compañía aseguradora pronunciarse sobre la reclamación.,Requerimiento
El juzgado demanda a Isabel Vargas que responda si acepta o rechaza la propuesta de pago.,Requerimiento
El despacho dispone dar traslado a la contraparte del recurso de reposición interpuesto por Ricardo Gómez.,Traslado
Se libra mandamiento de incautación sobre el vehículo de placas 287B467.,Embargo
El juzgado ordena el desembargo de las medidas cautelares sobre la cuenta 4749486.,Desembargo
El juzgado exigencia a la empresa informar el salario y prestaciones de Laura Sánchez.,Requerimiento
Se orden al apoderado de Verónica Paredes allegar copia auténtica del título ejecutivo.,Requerimiento
Se demanda al empleador presentar certificación de ingresos de María Gómez.,Requerimiento
El despacho ordena el recuperación de la cuenta bancaria número 2303792.,Desembargo
El despacho decreta el desembargo que pesaba sobre el inmueble de Isabel Vargas.,Desembargo
El juzgado requisitoria a Ana Martínez que responda si acepta o rechaza la propuesta de pago.,Requerimiento
Se concede envío a la contraparte para que comparezca y conteste la demanda.,Traslado
Se mandato al actor para que precise su demanda en el término legal.,Requerimiento
Se ordena la secuestro preventivo de la cuenta número 9672864 a nombre de Isabel Vargas.,Embargo
El juez ordena la confiscación de los fondos depositados en la entidad financiera BBVA.,Embargo
Se dispone la confiscación de los bienes registrados a nombre de Luis Fernández.,Embargo
El despacho dispone la incautación sobre el salario de Patricia López.,Embargo
El juzgado ordena la incautación de los bienes en garantía del crédito reclamado.,Embargo
Se ordena cancelar el embargo del vehículo identificado con placas 279M864.,Desembargo
Se libra mandamiento de requisa sobre el vehículo de placas 424H745.,Embargo
El despacho dispone dar envío a la contraparte del recurso de reposición interpuesto por María Gómez.,Traslado
Se libra mandamiento de embargo sobre el vehículo de placas 416X626.,Embargo
Se aviso al actor para que precise su demanda en el término legal.,Requerimiento
Se declara el recuperación parcial al considerarse suficientes los bienes para cubrir la deuda.,Desembargo
El juzgado ordena el desbloqueo de las medidas cautelares sobre la cuenta 2594094.,Desembargo
Se demanda a la entidad Financiera Central remitir certificación actualizada de los saldos de la cuenta 3682107.,Requerimiento
Se ordena la secuestro preventivo de la cuenta número 3153513 a nombre de Paula Hernández.,Embargo
Se requerimiento al actor para que precise su demanda en el término legal.,Requerimiento
Se mandato al apoderado de Luis Fernández allegar copia auténtica del título ejecutivo.,Requerimiento
Se deja sin efecto la medida de recuperación sobre los bienes de Ana Martínez.,Desembargo
Se demanda al actor para que precise su demanda en el término legal.,Requerimiento
El juzgado decreta la embargo de los bienes del demandado ubicados en Barranquilla.,Embargo
Se dispone el restitución de los bienes embargados para su devolución al deudor.,Desembargo
Se dispone dar traslado al recurso extraordinario presentado por Patricia López.,Traslado
Se petición a la entidad Banco del Norte remitir certificación actualizada de los saldos de la cuenta 5421832.,Requerimiento
El juez autoriza el restitución de los recursos retenidos en la entidad Banco del Norte.,Desembargo
El tribunal mandato a la compañía aseguradora pronunciarse sobre la reclamación.,Requerimiento
Se dictamina el restitución total de los bienes retenidos por orden judicial.,Desembargo
Se dispone el liberar bienes embargados de los bienes embargados para su devolución al deudor.,Desembargo
Se da traslado al Ministerio Público del informe presentado por Carlos Rodríguez.,Traslado
El juzgado concede notificación a la entidad Financiera Central para que se pronuncie sobre la solicitud de desembargo.,Traslado
El despacho dispone la confiscación sobre el salario de Ana Martínez.,Embargo
El despacho orden al banco BBVA informar los movimientos de la cuenta 5824585 en los últimos seis meses.,Requerimiento
El despacho petición al banco Banco Andino informar los movimientos de la cuenta 1338058 en los últimos seis meses.,Requerimiento
Se mandato a la entidad Davivienda remitir certificación actualizada de los saldos de la cuenta 2288622.,Requerimiento
El juzgado ordena el liberar bienes embargados de las medidas cautelares sobre la cuenta 3396823.,Desembargo
El despacho dispone la requisa sobre el salario de Sofía Medina.,Embargo
El despacho requerimiento al banco Financiera Central informar los movimientos de la cuenta 7582478 en los últimos seis meses.,Requerimiento
El despacho dispone la confiscación sobre el salario de José Luis.,Embargo
El juez autoriza el devolución de los recursos retenidos en la entidad Davivienda.,Desembargo
El tribunal remite copia del expediente a la autoridad competente para su traslado.,Traslado
Se requisitoria al actor para que precise su demanda en el término legal.,Requerimiento
Se dispone el levantamiento del embargo de los bienes embargados para su devolución al deudor.,Desembargo
Se deja sin efecto la medida de recuperación sobre los bienes de Marta Ramírez.,Desembargo
El juzgado ordena el recuperación de las medidas cautelares sobre la cuenta 8194036.,Desembargo
Se deja sin efecto la medida de desaplicación del embargo sobre los bienes de Fernando Ruiz.,Desembargo
El despacho solicitud al banco Cooperativa Solidaria informar los movimientos de la cuenta 3473396 en los últimos seis meses.,Requerimiento
Se dispone la incautación de los bienes registrados a nombre de Miguel Ángel.,Embargo
Se exigencia a Banco Andino remitir relación detallada de los productos financieros a nombre de Andrés Castillo.,Requerimiento
Se demanda al apoderado de Luis Fernández allegar copia auténtica del título ejecutivo.,Requerimiento
El despacho decreta el desbloqueo que pesaba sobre el inmueble de Carlos Rodríguez.,Desembargo
Se aviso al apoderado de Juan Pérez allegar copia auténtica del título ejecutivo.,Requerimiento
Se solicitud al actor para que precise su demanda en el término legal.,Requerimiento
El juzgado exigencia a la empresa informar el salario y prestaciones de Juan Pérez.,Requerimiento
El tribunal remite copia del expediente a la autoridad competente para su remesa.,Traslado
Se requerimiento al empleador presentar certificación de ingresos de Andrés Castillo.,Requerimiento
Se declara el desaplicación del embargo parcial al considerarse suficientes los bienes para cubrir la deuda.,Desembargo
Se dictamina el desaplicación del embargo total de los bienes retenidos por orden judicial.,Desembargo
El despacho decreta el liberar bienes embargados que pesaba sobre el inmueble de Fernando Ruiz.,Desembargo
Se mandato a la entidad BBVA remitir certificación actualizada de los saldos de la cuenta 3766525.,Requerimiento
Se decreta la incautación de los bienes muebles ubicados en la dirección indicada.,Embargo
Se ordena el confiscación preventivo sobre las acciones de la empresa de Laura Sánchez.,Embargo
El juez autoriza el desaplicación del embargo de los recursos retenidos en la entidad Banco Nacional.,Desembargo
Se ordena la decomiso preventivo de la cuenta número 3670193 a nombre de Laura Sánchez.,Embargo
Se libra mandamiento de retención sobre el vehículo de placas 692J738.,Embargo
El tribunal remite copia del expediente a la autoridad competente para su traslado.,Traslado
Se corre remisión a la parte demandada del escrito presentado en fecha 23/09/2024.,Traslado
Se corre traslado a la parte demandada del escrito presentado por la parte actora en fecha 10/07/2024.,Traslado
El despacho demanda al banco Cooperativa Solidaria informar los movimientos de la cuenta 3349489 en los últimos seis meses.,Requerimiento
El tribunal remite copia del expediente a la autoridad competente para su remesa.,Traslado
El tribunal remite copia del expediente a la autoridad competente para su comunicación.,Traslado
Se orden al actor para que precise su demanda en el término legal.,Requerimiento
Se autoriza el secuestro de la propiedad inmueble situada en Sincelejo.,Embargo
Se corre notificación a la parte demandada del escrito presentado por la parte actora en fecha 09/05/2025.,Traslado
Se mandato a Cooperativa Solidaria remitir relación detallada de los productos financieros a nombre de Carlos Rodríguez.,Requerimiento
El juzgado petición a Marta Ramírez que responda si acepta o rechaza la propuesta de pago.,Requerimiento
El despacho decreta el desembargo que pesaba sobre el inmueble de Luis Fernández.,Desembargo
El juzgado ordena el liberación de las medidas cautelares sobre la cuenta 7592644.,Desembargo
El juzgado ordena el liberar bienes embargados de las medidas cautelares sobre la cuenta 1811739.,Desembargo
Se orden a Financiera Central remitir relación detallada de los productos financieros a nombre de Pedro López.,Requerimiento
